what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1386344130581
java.specification.name,sysinfo,,,"Java Platform API Specification",1386344130581
java.specification.vendor,sysinfo,,,"Oracle Corporation",1386344130581
java.specification.version,sysinfo,,,"1.7",1386344130581
java.vendor,sysinfo,,,"Oracle Corporation",1386344130581
java.version,sysinfo,,,"1.7.0_45",1386344130581
java.vm.info,sysinfo,,,"mixed mode, sharing",1386344130581
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386344130581
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386344130581
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1386344130581
java.vm.specification.version,sysinfo,,,"1.7",1386344130581
java.vm.vendor,sysinfo,,,"Oracle Corporation",1386344130581
java.vm.version,sysinfo,,,"24.45-b08",1386344130581
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1386344130598
started,bundle,com.aptana.explorer,3.0.0.1367440240,"com.aptana.explorer",1386344131387
started,bundle,beaver,3.0.0.1346444146,"beaver",1386344131695
started,bundle,com.aptana.core.epl,3.0.0.1375741635,"com.aptana.core.epl",1386344131760
started,bundle,org.python.pydev.red_core,2.7.0.2013032300,"org.python.pydev.red_core",1386344131850
started,bundle,com.aptana.ui,3.1.4.1374614471,"com.aptana.ui",1386344131867
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1386344131931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344132012
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1386344132096
started,bundle,com.aptana.browser,3.0.0.1374195238,"com.aptana.browser",1386344132299
started,bundle,com.aptana.configurations,3.0.3.1352336277,"com.aptana.configurations",1386344132363
started,bundle,com.aptana.projects,3.0.0.1368601846,"com.aptana.projects",1386344132412
started,bundle,com.aptana.samples.ui,3.0.0.1371684221,"com.aptana.samples.ui",1386344132436
started,bundle,com.aptana.samples,3.0.0.1372107642,"com.aptana.samples",1386344132453
opened,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1386344132462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344140908
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1386344143542
activated,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1386344143808
activated,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1386344143850
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1386344143981
activated,editor,,,"org.zend.customization.welcome.welcomePageEditor",1386344149203
activated,editor,,,"org.zend.customization.welcome.welcomePageEditor",1386344149221
closed,editor,com.aptana.portal.ui,3.0.0.1367525200,"com.aptana.portal.ui.browser.startPage",1386344149221
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1386344157991
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1386344158497
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1386344158605
activated,editor,,,"org.zend.customization.welcome.welcomePageEditor",1386344162677
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1386344162799
activated,editor,,,"org.zend.customization.welcome.welcomePageEditor",1386344164102
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1386344164135
closed,editor,,,"org.zend.customization.welcome.welcomePageEditor",1386344164135
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1386344164898
started,bundle,com.aptana.core.io,3.0.3.1374276906,"com.aptana.core.io",1386344168373
started,bundle,com.aptana.ui.io,3.0.0.1366120396,"com.aptana.ui.io",1386344168393
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1386344171330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344172088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344184463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344190101
started,bundle,com.aptana.editor.php,3.3.0.1375569400,"com.aptana.editor.php",1386344208974
started,bundle,com.aptana.ui.epl,3.0.0.1368752364,"com.aptana.ui.epl",1386344209023
started,bundle,com.aptana.editor.php.epl,3.3.0.1358460206,"com.aptana.editor.php.epl",1386344209147
started,bundle,com.aptana.parsing,3.0.0.1371074251,"com.aptana.parsing",1386344211137
started,bundle,com.aptana.index.core,3.0.0.1366033959,"com.aptana.index.core",1386344212361
started,bundle,com.aptana.editor.html,3.0.3.1371074251,"com.aptana.editor.html",1386344212488
started,bundle,com.aptana.buildpath.core,3.1.0.1358388195,"com.aptana.buildpath.core",1386344212488
started,bundle,com.aptana.jetty.util.epl,3.0.0.1337703431,"com.aptana.jetty.util.epl",1386344212632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344224107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1386344224201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344232922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344253820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344256598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344260374
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1386344265016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344273674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344346084
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386344356649
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1386344356887
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1386344357218
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386344357234
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1386344358047
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1386344358079
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1386344358113
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1386344358132
stopped,bundle,com.mds.apg,1.2.91.201207042009,"com.mds.apg",1386344358133
stopped,bundle,com.android.ide.eclipse.ndk,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ndk",1386344358133
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1386443926717
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1386443926719
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1386443926720
